LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,defaulted
160000,2,2,2,32,0,0,0,0,0,0,156098,156259,155404,153234,156731,155818,6000,6000,5600,6000,6000,5500,0
100000,2,1,2,30,0,0,0,0,2,0,28383,32903,42283,51539,50583,52588,5000,10000,10000,0,2846,1936,1
80000,1,1,2,29,0,0,0,0,0,0,73722,75323,64277,45455,42231,42804,3300,2500,1556,1600,1600,1600,0
20000,2,2,1,27,0,0,-1,-1,-2,-2,7286,2160,780,0,0,0,1006,780,0,0,0,0,0
50000,2,1,2,30,-2,-2,-2,-2,-2,-2,0,2070,0,0,0,0,2070,0,0,0,0,0,0
100000,1,2,2,34,2,2,2,2,2,2,54126,57919,57778,59227,58151,61966,5300,1400,3000,0,4800,2500,1
120000,2,1,2,26,0,0,0,0,0,0,11513,12227,13321,15090,16836,18554,1206,1300,2000,2000,2000,2000,0
500000,1,2,1,33,0,0,0,0,0,0,88832,90687,84613,89944,80339,77214,6047,5016,10055,2513,3009,14542,0
20000,2,2,2,26,0,0,0,0,0,0,25451,24025,21148,17767,2692,-956,3000,1500,1035,54,24056,21000,0
170000,2,2,1,29,-2,-2,-2,-2,-2,-2,-807,-807,-807,-807,-1169,-1531,0,0,0,0,0,0,0
290000,1,1,2,31,2,0,0,0,0,0,45021,44702,35181,28847,28131,3016,2700,1707,1800,0,0,2411,1
110000,2,1,2,23,0,0,0,0,0,0,50346,54489,58602,62001,65334,69097,5000,5000,5000,5000,5000,2707,0
180000,1,1,2,31,0,0,0,0,0,0,89903,66236,59932,52382,40661,32385,3073,3010,2010,1200,1000,1000,0
30000,2,2,2,22,0,0,0,0,0,0,20439,21664,18969,23317,17689,20013,1595,2000,5000,0,5400,300,0
410000,1,2,1,46,-1,-1,-1,-1,-1,-1,5135,2916,13379,5165,5034,3089,2916,13379,5180,5851,3089,6271,0
250000,1,1,1,53,1,-1,-1,-1,-1,-1,0,4190,21500,0,10180,7680,4190,25690,0,10180,7680,0,1
20000,2,2,1,34,1,2,2,2,0,0,17970,17389,20491,19803,19734,19613,0,3700,0,1000,2000,710,0
50000,2,2,1,34,1,2,0,0,0,0,49378,48052,48573,28902,28205,30388,0,2033,1119,985,2000,4000,0
30000,2,3,1,44,2,2,2,2,2,2,19608,20696,20071,21432,21704,21205,1700,0,2000,760,0,2000,1
180000,2,2,1,35,-1,-1,0,0,0,0,1175,5317,8388,8529,7739,3803,5317,3200,2700,2000,76,0,0
40000,2,2,1,30,2,2,2,2,2,2,14408,15370,16320,16456,16492,16086,1500,1500,700,600,0,1600,1
80000,2,2,2,30,0,-1,-1,-1,0,-1,21072,2520,-3990,22193,21546,1922,2620,0,27194,1381,1922,2781,0
400000,2,2,1,46,0,0,0,0,0,0,43405,39802,37115,39907,35061,35969,15000,15000,10000,15000,20000,20000,0
490000,2,2,1,30,0,0,0,0,0,0,192586,197967,201666,205798,196698,190306,10000,7143,7306,6303,6429,6000,0
300000,2,1,2,37,1,2,0,0,0,0,34085,29305,25945,22318,18636,15374,0,1380,753,630,1000,500,0
230000,2,1,2,33,0,0,0,0,0,0,181532,187639,193252,200648,203103,207573,9000,10000,12000,7130,7600,8100,0
290000,2,3,2,35,0,0,0,0,0,0,159165,167485,167930,171146,174889,179149,11000,5600,5500,5500,6000,5500,0
50000,1,2,2,22,0,0,0,0,0,0,34033,34622,19993,18852,18020,18537,1342,1500,700,651,1000,1000,1
170000,2,1,2,27,-1,-1,2,-1,-1,-1,356,1472,736,736,736,736,1536,0,736,736,736,736,0
340000,2,1,2,31,0,0,0,0,0,0,112119,119230,259489,328507,283758,273018,25000,150000,90168,25001,10000,11000,0
300000,2,3,2,30,2,2,2,2,2,2,131957,134790,137637,138886,140116,147715,6500,6500,5000,5000,10000,7000,0
60000,2,1,2,23,0,0,0,0,0,0,27369,27961,28509,28628,28785,28921,1466,1452,1009,1040,1048,856,0
500000,1,1,1,50,1,2,2,2,2,2,74850,76463,77611,78735,80430,82068,3400,3000,3000,3100,3110,0,1
140000,2,2,2,23,0,0,0,0,0,0,44733,44144,44739,43455,43980,44614,2100,2027,1800,1600,1750,1700,0
20000,2,3,1,45,2,2,3,2,2,0,21646,24390,23719,23936,23253,25871,3400,0,900,0,3000,2000,1
70000,1,2,1,47,0,0,0,0,0,0,53239,54351,56480,57253,59150,0,2000,3000,2500,3000,0,0,0
60000,2,2,1,27,1,2,0,0,2,0,10415,10099,11545,12928,12581,10787,0,1617,2000,0,270,1000,0
100000,2,2,2,25,2,0,0,0,0,0,70896,71678,70125,69856,69718,51365,3472,2092,2000,2127,1960,1559,1
100000,1,1,2,26,0,-1,0,0,-1,0,1544,1049,2067,1944,389,1221,1100,1200,1000,500,1000,1000,1
50000,1,2,2,31,0,0,0,0,0,0,50275,45673,48833,31769,9713,9521,2000,5000,2500,500,317,1000,0
160000,1,3,1,30,1,2,0,0,0,0,102867,82729,72583,60565,54651,48468,31,2609,2037,2010,2017,3012,0
280000,2,2,1,41,0,0,0,0,0,0,9551,12848,15345,19211,22817,37323,5000,5000,5000,5000,16000,0,0
130000,1,3,1,39,0,-1,-1,-1,-1,-1,51790,390,390,390,390,390,390,390,390,390,390,390,0
120000,1,2,2,35,0,0,0,0,0,0,90972,93452,95943,99340,101783,104929,4000,4000,5000,5000,5000,3400,0
500000,1,1,1,41,-1,-1,2,2,-1,2,390,780,390,0,3280,2500,780,0,0,3280,0,0,0
310000,2,1,2,32,0,0,0,0,0,0,35064,38195,39233,39577,42996,46319,4000,2000,2000,4000,4000,4000,0
30000,2,3,2,38,2,2,2,2,2,-1,11403,8151,8892,8563,-510,390,0,2500,0,0,1290,930,0
420000,1,3,2,32,-1,-1,0,-1,-1,-2,41104,6784,6346,1409,14107,8379,6887,2028,1413,14109,8452,1928,0
360000,1,2,2,31,0,0,0,0,0,0,34831,29791,19013,17929,20759,3436,5059,1383,2000,3030,2009,2018,0
450000,1,1,2,31,-1,-1,-1,-1,-1,-1,10350,3629,3271,6271,2135,2546,3629,3271,6271,2135,2546,4877,1
150000,1,2,2,38,-1,-1,-1,-1,-1,2,476,476,476,476,1102,476,476,476,476,1102,0,476,0
360000,1,1,2,40,-1,-1,-1,-1,-1,-1,3457,1997,5115,3295,222,2854,2020,5115,3295,222,2862,2129,0
290000,2,2,2,30,-1,-1,2,-1,-1,-2,4479,8025,3499,3264,-550,-550,15499,0,3302,0,0,1250,0
80000,1,2,2,26,-1,0,0,0,0,0,2159,4132,5949,7144,5309,500,2000,2002,2005,15,523,0,0
80000,2,2,1,26,0,0,0,0,-1,0,26158,27041,27797,5958,11341,5259,1623,5879,1000,11360,486,478,0
50000,2,2,1,34,-1,-1,-1,-1,-1,-1,2738,8192,3595,900,6483,0,8199,3622,900,6483,0,0,0
200000,1,1,1,37,0,0,0,0,0,0,123337,11148,19165,21171,17762,23670,11202,19275,22304,23850,23784,84430,0
20000,2,2,1,45,0,0,0,0,2,0,14296,15321,16333,17434,17013,17500,1262,1274,1375,0,771,805,0
60000,2,3,1,41,0,0,0,0,0,0,56261,55773,55953,55562,55063,54819,1993,2627,2700,2500,2300,3000,0
